recipe,ingredient,quantity
Chicken Tikka Masala,chicken breast,500g
Chicken Tikka Masala,yogurt,200g
Chicken Tikka Masala,tomato sauce,300ml
Chicken Tikka Masala,garlic,3 cloves
Chicken Tikka Masala,ginger,1 tbsp
Beef Lasagna,ground beef,400g
Beef Lasagna,pasta sheets,250g
Beef Lasagna,ricotta cheese,200g
Beef Lasagna,tomato sauce,300ml
Greek Salad,cucumber,1 large
Greek Salad,tomato,2 medium
Greek Salad,red onion,1 small
Greek Salad,feta cheese,100g
Greek Salad,olive oil,2 tbsp
Homemade Pizza,pizza dough,1 base
Homemade Pizza,tomato sauce,100ml
Homemade Pizza,cheese,200g
Chocolate Chip Cookies,flour,200g
Chocolate Chip Cookies,butter,150g
Chocolate Chip Cookies,sugar,100g
Chocolate Chip Cookies,chocolate chips,150g
Vegetable Soup,carrot,2 medium
Vegetable Soup,celery,2 stalks
Vegetable Soup,onion,1 medium
Vegetable Soup,vegetable broth,1L
Grilled Salmon,salmon fillet,200g
Grilled Salmon,lemon,1/2
Grilled Salmon,olive oil,1 tbsp
Avocado Toast,bread,2 slices
Avocado Toast,avocado,1 medium
Beef Burger,ground beef,150g
Beef Burger,burger bun,1
Fruit Smoothie,banana,1
Fruit Smoothie,strawberries,100g
Fruit Smoothie,yogurt,150ml
Shrimp Scampi,shrimp,200g
Shrimp Scampi,garlic,2 cloves
Shrimp Scampi,pasta,150g
Chicken Noodle Soup,chicken breast,300g
Chicken Noodle Soup,noodles,100g
Chicken Noodle Soup,carrot,1
Pancakes,flour,150g
Pancakes,egg,1
Pancakes,milk,200ml
Caesar Salad,romaine lettuce,1 head
Caesar Salad,croutons,50g
Caesar Salad,parmesan,30g
Beef Stew,beef chuck,500g
Beef Stew,potato,2 medium
Beef Stew,carrot,2
Garlic Bread,bread,4 slices
Garlic Bread,butter,50g
Garlic Bread,garlic,2 cloves
Omelette,egg,2
Omelette,cheese,30g
Tuna Salad,tuna,150g
Tuna Salad,mayo,2 tbsp
Chocolate Cake,flour,200g
Chocolate Cake,sugar,200g
Chocolate Cake,cocoa powder,50g
Fried Rice,rice,200g
Fried Rice,egg,2
Fried Rice,vegetables,100g
Baked Potatoes,potato,2 large
Guacamole,avocado,2
Guacamole,lime,1
Chicken Curry,chicken thigh,400g
Chicken Curry,coconut milk,400ml
French Toast,bread,2 slices
French Toast,egg,1
Pasta Pesto,pasta,200g
Pasta Pesto,basil,30g
Roast Chicken,whole chicken,1.5kg
Hummus,chickpeas,400g
Hummus,tahini,2 tbsp
Vegetable Curry,mixed vegetables,300g
Vegetable Curry,coconut milk,400ml